Country,SuicideRate
Lithuania,31.9
Russia,31
Guyana,29.2
South Korea,26.9
Belarus,26.2
Suriname,22.8
Kazakhstan,22.5
Ukraine,22.4
Latvia,21.2
Lesotho,21.2
Belgium,20.7
Hungary,19.1
Slovenia,18.6
Japan,18.5
Uruguay,18.4
Estonia,17.8
France,17.7
Switzerland,17.2
Croatia,16.5
Equatorial Guinea,16.4
India,16.3
Poland,16.2
Finland,15.9
Moldova,15.9
Austria,15.6
Serbia,15.6
United States,15.3
Sweden,14.8
Sri Lanka,14.6
Kiribati,14.4
Thailand,14.4
Iceland,14
Portugal,14
Cuba,13.9
El Salvador,13.7
Germany,13.6
Trinidad & Tobago,13.6
Luxembourg,13.5
Swaziland,13.3
Australia,13.2
Mongolia,13
Denmark,12.8
Slovakia,12.8
Netherlands,12.6
Canada,12.5
Bolivia,12.2
Cameroon,12.2
Nicaragua,12.2
Norway,12.2
New Zealand,12.1
Haiti,11.7
South Africa,11.6
Bulgaria,11.5
Ireland,11.5
Bhutan,11.4
Hong Kong,
North Korea,11.2
Micronesia,11.1
Zimbabwe,10.7
Chile,10.6
Romania,10.4
Montenegro,10.3
Benin,9.9
Dominican Republic,9.9
Singapore,9.9
Uganda,9.9
China,9.7
Sierra Leone,9.7
Togo,9.6
Nigeria,9.5
Paraguay,9.5
Botswana,9.3
Seychelles,9.3
Argentina,9.2
Burundi,9.1
United Kingdom,8.9
Bosnia and Herzegovina,8.8
Chad,8.8
Nepal,8.8
Namibia,8.7
Spain,8.7
Laos,8.6
Yemen,8.5
Kyrgyzstan,8.3
Georgia,8.2
Italy,8.2
Sudan,8.1
Costa Rica,7.9
Eritrea,7.9
Mauritius,7.8
Myanmar,7.8
Saint Lucia,7.8
Burkina Faso,7.7
Central African Republic,7.7
Malta,7.5
Uzbekistan,7.4
Turkey,7.3
Vietnam,7.3
Colombia,7.2
Ethiopia,7.2
Ecuador,7.1
Gabon,7.1
Comoros,6.8
Liberia,6.8
Djibouti,6.7
Rwanda,6.7
Turkmenistan,6.7
Armenia,6.6
Congo (Brazzaville),
Qatar,6.6
Brazil,6.5
Albania,6.3
Guinea,6.3
Zambia,6.1
Papua New Guinea,6
Senegal,6
Bahrain,5.9
Bangladesh,5.9
Malaysia,5.5
Ghana,5.4
Israel,5.4
Tanzania,5.4
Cambodia,5.3
Cyprus,5.3
Kosovo,
Libya,5.2
Gambia,5.1
Mexico,5.1
Fiji,5
Greece,5
Mozambique,4.9
Peru,4.9
Mali,4.8
Afghanistan,4.7
Angola,4.7
Belize,4.7
Solomon Islands,4.7
Taiwan,
Somalia,4.7
Niger,4.6
Vanuatu,4.5
Mauritania,4.4
Samoa,4.4
Cote d'Ivoire,
Panama,4.3
Iran,4.1
Egypt,4
Guinea-Bissau,4
Madagascar,3.9
Oman,3.9
Malawi,3.7
South Sudan,3.7
Venezuela,3.7
Tonga,3.5
Indonesia,3.4
Tunisia,3.4
Lebanon,3.3
Algeria,3.2
Kenya,3.2
Philippines,3.2
Saudi Arabia,3.2
Congo (Kinshasa),
Iraq,3
Honduras,2.9
Jordan,2.9
Morocco,2.9
Syria,
Pakistan,2.9
United Arab Emirates,2.8
Guatemala,2.7
Azerbaijan,2.6
Tajikistan,2.5
Saint Vincent and the Grenadines,2.4
Kuwait,2.3
Maldives,2.3
North Macedonia,
Sao Tome and Principe,2.3
Jamaica,2.2
Bahamas,1.7
Grenada,1.7
Barbados,0.8
Antigua and Barbuda,0.5
Palestinian Territories,
Czech Republic,
,
,
